DATES,T_PI,T_CI,m_PI,m_CI,APITR,ACITR,PITB,CITB,GOV,RGDP,DEBT,FF,PLEVEL,NBR,EMP,HperW,LF,CNDSV,CD,INR,"2006, frequenc"
1975,0.0000,0.0000,0.0000,0.0000,0.1793,0.2969,-15.2374,-17.6801,-14.8294,-15.2190,-16.4312,0.0630,3.4491,2.8526,-14.3381,0.5624,-14.2546,-15.1736,-15.9999,-15.7206,-15.6413
1975.25,0.0000,0.0000,0.0000,0.0000,0.1467,0.2876,-15.2441,-17.5856,-14.8421,-15.2160,-16.3817,0.0542,3.4614,2.8615,-14.3464,0.5609,-14.2602,-15.1622,-15.9852,-15.7517,-15.6601
1975.5,0.0000,0.0000,0.0000,0.0000,0.1683,0.3099,-15.2384,-17.4498,-14.8222,-15.2040,-16.3613,0.0616,3.4799,2.8587,-14.3453,0.5610,-14.2625,-15.1601,-15.9294,-15.7473,-15.6402
1975.75,0.0000,0.0000,0.0000,0.0000,0.1686,0.2997,-15.2316,-17.4224,-14.8244,-15.1958,-16.3410,0.0541,3.4966,2.8731,-14.3424,0.5660,-14.2620,-15.1573,-15.9054,-15.7428,-15.6264
1976,0.0000,0.0000,0.0000,0.0000,0.1707,0.3138,-15.2181,-17.3560,-14.8384,-15.1780,-16.3223,0.0483,3.5075,2.8804,-14.3371,0.5679,-14.2625,-15.1472,-15.8614,-15.7296,-15.5905
1976.25,0.0000,0.0000,0.0000,0.0000,0.1720,0.3172,-15.2106,-17.4000,-14.8452,-15.1752,-16.3091,0.0520,3.5159,2.8803,-14.3353,0.5635,-14.2603,-15.1418,-15.8615,-15.7221,-15.5782
1976.5,0.0000,0.0000,0.0000,0.0000,0.1733,0.3129,-15.2053,-17.4148,-14.8527,-15.1749,-16.2971,0.0528,3.5309,2.8875,-14.3347,0.5625,-14.2595,-15.1361,-15.8549,-15.7051,-15.5725
1976.75,0.1173,0.4661,0.3965,1.2489,0.1739,0.3076,-15.2028,-17.4412,-14.8548,-15.1723,-16.2874,0.0487,3.5466,2.9088,-14.3340,0.5644,-14.2576,-15.1283,-15.8438,-15.6900,-15.5269
1977,0.0000,0.0000,0.0000,0.0000,0.1770,0.3102,-15.2007,-17.3998,-14.8511,-15.1653,-16.2844,0.0466,3.5643,2.9070,-14.3294,0.5603,-14.2560,-15.1257,-15.8124,-15.6565,-15.4959
1977.25,0.0000,0.0000,0.0000,0.0000,0.1769,0.3004,-15.1877,-17.2983,-14.8393,-15.1502,-16.2794,0.0516,3.5813,2.9019,-14.3178,0.5636,-14.2472,-15.1280,-15.7937,-15.6326,-15.4462
1977.5,-0.3536,-0.8355,-0.0744,-0.0527,0.1745,0.2894,-15.1770,-17.2387,-14.8381,-15.1371,-16.2710,0.0582,3.5963,2.9040,-14.3119,0.5622,-14.2456,-15.1239,-15.7836,-15.6164,-15.4379
1977.75,0.0000,0.0000,0.0000,0.0000,0.1747,0.3007,-15.1658,-17.3000,-14.8525,-15.1418,-16.2723,0.0651,3.6105,2.9134,-14.3054,0.5603,-14.2433,-15.1145,-15.7674,-15.5880,-15.4246
1978,0.0000,0.0000,0.0000,0.0000,0.1771,0.2929,-15.1582,-17.3587,-14.8535,-15.1430,-16.2662,0.0676,3.6270,2.9422,-14.2991,0.5531,-14.2380,-15.1075,-15.7988,-15.5827,-15.4208
1978.25,0.0000,0.0000,0.0000,0.0000,0.1783,0.3109,-15.1439,-17.2447,-14.8345,-15.1089,-16.2739,0.0728,3.6474,2.9325,-14.2871,0.5648,-14.2299,-15.0998,-15.7314,-15.5063,-15.3552
1978.5,0.0000,0.0000,0.0000,0.0000,0.1818,0.3071,-15.1373,-17.2457,-14.8354,-15.1036,-16.2802,0.0810,3.6649,2.9410,-14.2837,0.5610,-14.2260,-15.0969,-15.7494,-15.4756,-15.3313
1978.75,0.0000,0.0000,0.0000,0.0000,0.1834,0.3093,-15.1323,-17.2256,-14.8311,-15.0949,-16.2930,0.0958,3.6836,2.9384,-14.2789,0.5631,-14.2208,-15.0933,-15.7460,-15.4477,-15.3147
1979,-0.8047,-2.7554,-0.5255,-1.9726,0.1872,0.3062,-15.1202,-17.2918,-14.8342,-15.0977,-16.3074,0.1007,3.7022,2.9145,-14.2750,0.5573,-14.2184,-15.0898,-15.7623,-15.4306,-15.3116
1979.25,0.0000,0.0000,0.0000,0.0000,0.1886,0.3037,-15.1279,-17.3137,-14.8264,-15.1011,-16.3276,0.1018,3.7291,2.9118,-14.2743,0.5511,-14.2193,-15.0910,-15.7896,-15.4380,-15.3238
1979.5,0.0000,0.0000,0.0000,0.0000,0.1899,0.3015,-15.1259,-17.3504,-14.8322,-15.0982,-16.3413,0.1095,3.7535,2.9268,-14.2709,0.5570,-14.2143,-15.0884,-15.7664,-15.4115,-15.3100
1979.75,0.0000,0.0000,0.0000,0.0000,0.1896,0.2949,-15.1178,-17.4027,-14.8366,-15.0997,-16.3517,0.1358,3.7774,2.9574,-14.2730,0.5577,-14.2153,-15.0853,-15.7967,-15.4133,-15.3236
1980,0.0000,0.0000,0.0000,0.0000,0.1873,0.3270,-15.1157,-17.4551,-14.8093,-15.1007,-16.3565,0.1505,3.8068,2.8836,-14.2747,0.5519,-14.2137,-15.0890,-15.8168,-15.4065,-15.3420
1980.25,0.0000,0.0000,0.0000,0.0000,0.1884,0.2862,-15.1314,-17.6449,-14.7887,-15.1256,-16.3528,0.1269,3.8310,3.0055,-14.2841,0.5448,-14.2107,-15.1026,-15.9351,-15.4628,-15.4372
1980.5,0.0000,0.0000,0.0000,0.0000,0.1894,0.3085,-15.1358,-17.6287,-14.8056,-15.1308,-16.3460,0.0984,3.8541,2.9918,-14.2904,0.5446,-14.2174,-15.0999,-15.8951,-15.4587,-15.4308
1980.75,0.0000,0.0000,0.0000,0.0000,0.1888,0.3115,-15.1170,-17.5719,-14.8056,-15.1159,-16.3511,0.1585,3.8785,3.0119,-14.2860,0.5475,-14.2162,-15.0926,-15.8684,-15.4413,-15.3952
1981,0.0000,0.0000,0.0000,0.0000,0.1960,0.2817,-15.1138,-17.5530,-14.7885,-15.0987,-16.3579,0.1657,3.9041,3.0479,-14.2862,0.5478,-14.2143,-15.0939,-15.8438,-15.4287,-15.3913
1981.25,0.0000,0.0000,0.0000,0.0000,0.1976,0.2495,-15.1160,-17.5970,-14.7625,-15.1101,-16.3587,0.1778,3.9206,3.0101,-14.2873,0.5402,-14.2146,-15.0914,-15.8869,-15.4121,-15.3881
1981.5,-0.1653,-2.2099,0.1139,-1.4272,0.1972,0.2390,-15.1024,-17.5360,-14.7667,-15.1012,-16.3587,0.1758,3.9369,3.0460,-14.2888,0.5344,-14.2150,-15.0943,-15.8600,-15.3912,-15.3911
1981.75,0.0000,0.0000,0.0000,0.0000,0.1930,0.2194,-15.1099,-17.6341,-14.7592,-15.1169,-16.3468,0.1359,3.9520,3.0822,-14.2949,0.5426,-14.2120,-15.0955,-15.9377,-15.3706,-15.3979
1982,0.0000,0.0000,0.0000,0.0000,0.1932,0.1841,-15.1130,-17.7658,-14.7608,-15.1365,-16.3260,0.1423,3.9645,3.0397,-14.3038,0.5326,-14.2150,-15.0957,-15.9093,-15.3976,-15.4319
1982.25,0.0000,0.0000,0.0000,0.0000,0.1932,0.1771,-15.1135,-17.7073,-14.7549,-15.1343,-16.3006,0.1451,3.9740,3.0523,-14.3096,0.5424,-14.2151,-15.0953,-15.9088,-15.4372,-15.4706
1982.5,0.0000,0.0000,0.0000,0.0000,0.1876,0.1818,-15.1215,-17.7305,-14.7429,-15.1410,-16.2678,0.1101,3.9896,3.0797,-14.3180,0.5408,-14.2172,-15.0906,-15.9037,-15.4744,-15.5017
1982.75,0.0000,0.0000,0.0000,0.0000,0.1880,0.1675,-15.1251,-17.7723,-14.7166,-15.1431,-16.2261,0.0929,4.0007,3.1340,-14.3261,0.5398,-14.2176,-15.0791,-15.8619,-15.4976,-15.5062
1983,0.0000,0.0000,0.0000,0.0000,0.1866,0.1626,-15.1201,-17.6747,-14.7076,-15.1336,-16.1823,0.0865,4.0093,3.1621,-14.3275,0.5448,-14.2247,-15.0723,-15.8547,-15.5194,-15.4875
1983.25,0.0000,0.0000,0.0000,0.0000,0.1866,0.1914,-15.1129,-17.5482,-14.6894,-15.1143,-16.1453,0.0880,4.0185,3.1630,-14.3228,0.5469,-14.2221,-15.0629,-15.7872,-15.5101,-15.4525
1983.5,0.0000,0.0000,0.0000,0.0000,0.1771,0.2061,-15.1018,-17.4945,-14.6646,-15.0976,-16.1063,0.0946,4.0315,3.1778,-14.3148,0.5513,-14.2233,-15.0512,-15.7524,-15.4688,-15.3973
1983.75,0.0000,0.0000,0.0000,0.0000,0.1764,0.2027,-15.0827,-17.4638,-14.7031,-15.0800,-16.0703,0.0943,4.0382,3.2025,-14.3056,0.5505,-14.2232,-15.0432,-15.7071,-15.4089,-15.3432
1984,0.0000,0.0000,0.0000,0.0000,0.1771,0.2191,-15.0617,-17.3858,-14.6975,-15.0637,-16.0444,0.0969,4.0489,3.2113,-14.2974,0.5571,-14.2208,-15.0420,-15.6729,-15.3797,-15.3152
1984.25,0.0000,0.0000,0.0000,0.0000,0.1758,0.2077,-15.0448,-17.3593,-14.6694,-15.0494,-16.0142,0.1056,4.0585,3.1265,-14.2899,0.5606,-14.2184,-15.0320,-15.6529,-15.3340,-15.2778
1984.5,0.1810,1.0210,0.4603,1.8038,0.1764,0.1795,-15.0291,-17.3949,-14.6761,-15.0426,-15.9835,0.1139,4.0662,2.9364,-14.2856,0.5569,-14.2134,-15.0260,-15.6554,-15.3044,-15.2595
1984.75,0.0000,0.0000,0.0000,0.0000,0.1777,0.1775,-15.0215,-17.3836,-14.6463,-15.0373,-15.9487,0.0927,4.0725,3.1666,-14.2821,0.5543,-14.2104,-15.0187,-15.6263,-15.2834,-15.2445
1985,0.0000,0.0000,0.0000,0.0000,0.1887,0.1867,-15.0162,-17.3874,-14.6385,-15.0307,-15.9275,0.0848,4.0830,3.2580,-14.2785,0.5546,-14.2074,-15.0075,-15.5949,-15.2747,-15.2397
1985.25,0.0000,0.0000,0.0000,0.0000,0.1740,0.1811,-15.0128,-17.3901,-14.6172,-15.0251,-15.8918,0.0792,4.0905,3.3194,-14.2767,0.5559,-14.2050,-15.0016,-15.5859,-15.2634,-15.2300
1985.5,0.0000,0.0000,0.0000,0.0000,0.1830,0.1844,-15.0102,-17.3380,-14.5871,-15.0125,-15.8605,0.0790,4.0968,3.3583,-14.2741,0.5548,-14.2044,-14.9928,-15.5267,-15.2816,-15.2410
1985.75,0.0000,0.0000,0.0000,0.0000,0.1825,0.1872,-15.0001,-17.3924,-14.5903,-15.0078,-15.8313,0.0810,4.1047,3.4095,-14.2724,0.5555,-14.2039,-14.9875,-15.5647,-15.2675,-15.2251
1986,0.0000,0.0000,0.0000,0.0000,0.1813,0.2043,-14.9921,-17.4221,-14.5985,-15.0011,-15.8030,0.0783,4.1119,3.4446,-14.2727,0.5514,-14.2024,-14.9838,-15.5473,-15.2842,-15.2265
1986.25,0.0000,0.0000,0.0000,0.0000,0.1808,0.2115,-14.9893,-17.4589,-14.5700,-14.9999,-15.7735,0.0692,4.1125,3.5009,-14.2719,0.5511,-14.2009,-14.9801,-15.5155,-15.3124,-15.2318
1986.5,0.0000,0.0000,0.0000,0.0000,0.1816,0.2211,-14.9840,-17.4923,-14.5353,-14.9928,-15.7423,0.0621,4.1198,3.5442,-14.2677,0.5463,-14.1987,-14.9763,-15.4360,-15.3296,-15.2398
1986.75,0.0000,7.3821,0.0000,8.1649,0.1840,0.2486,-14.9808,-17.4949,-14.5533,-14.9904,-15.7200,0.0627,4.1271,3.6380,-14.2640,0.5487,-14.1988,-14.9688,-15.4544,-15.3217,-15.2356
1987,-0.1991,0.0000,0.0801,0.0000,0.1811,0.2469,-14.9763,-17.4611,-14.5498,-14.9872,-15.7002,0.0622,4.1390,3.6454,-14.2599,0.5534,-14.1953,-14.9627,-15.5180,-15.3520,-15.2580
1987.25,0.0000,0.0000,0.0000,0.0000,0.1934,0.2517,-14.9705,-17.3499,-14.5384,-14.9791,-15.6846,0.0665,4.1477,3.6555,-14.2549,0.5487,-14.1945,-14.9562,-15.4802,-15.3308,-15.2427
